Tên,Giá,
Máy xách tay/ Laptop Asus X441UA-WX027 (I3-6100U) (Đen),9.290.000 ₫,24,Asus,Office,Đen,Asus VivoBook,X441UA-WX027,Intel Core i3 6th Gen,i3-6100U,2,2.6 GHz,3MB,Free DOS,4GB,Đang cập nhật,14.0",Không,1366 x 768,HD,Intel HD Graphics 520,Không có,Không,1TB,Không có,Có,Không,Không có,Không,Có,Có,3,1,Có,Có,348 x 242.8 x 27.6mm,2kg,3,Không
Máy xách tay/ Laptop Dell Vostro 3468 (F3468-70088614) (Đen),12.390.000 ₫,12,Dell,Multimedia,Đen,Dell Vostro,3468,Intel Core i5 7th Gen,i5-7200U,2,2.5 GHz,3MB,Free DOS,4GB,Đang cập nhật,14.0",Không,1366 x 768,HD,Intel HD Graphics 620,Không có,Không,1TB,Không có,Có,Không,Không có,Không,Có,Có,3,1,Có,Có,346x246x23 mm,1.94kg,4,Không
Máy xách tay/ Laptop Dell Inspiron 14 3467-M20NR1 (I3-6006U) (Đen),10.090.000 ₫,12,Dell,Multimedia,Đen,Dell Inspiron,3468,Intel Core i3 6th Gen,i3-6006U,2,2.0 GHz,3MB,Free DOS,4GB,16GB,14.0",Không,1366 x 768,HD,Intel HD Graphics 520,Không có,Không,1TB,Không có,Có,Không,Không có,Không,Có,Có,3,1,Có,Không,345 x 243 x 23.35 mm,1.81kg,4,Không
Máy xách tay/ Laptop Dell Vostro 3568-XF6C61 (Đen),12.990.000 ₫,12,Dell,Multimedia,Đen,Dell Vostro,3568,Intel Core i5 7th Gen,i5-7200U,2,2.5 GHz,3MB,Free DOS,4GB,Đang cập nhật,15.6",Không,1366 x 768,HD,Intel HD Graphics 620,Không có,Không,1TB,Không có,Có,Có,Không có,Không,Có,Có,4,1,Có,Có,Đang cập nhật,2.18kg,4,Không
Máy xách tay/ Laptop Asus FX503VD-E4119T (I7-7700HQ) (Đen),24.190.000 ₫,24,Asus,Gaming,Đen,ASUS ROG Series,FX503VD-E4119T,Intel Core i7 7th Gen,i7-7700HQ,4,2.8 GHz,6MB,Windows 10,8GB,32GB,15.6",Không,1920 x 1080,Full HD,Intel HD Graphics 630,NVIDIA Geforce GTX 1050,4GB,1TB,Không có,Không,Có,Đơn sắc,Không,Có,Có,3,1,Có,Không,384 x 262 x 24mm,2.3kg,4,Không
Máy xách tay/ Laptop Dell Inspiron 3567-C5I31120 (Đen),10.690.000 ₫,Đen,Dell Inspiron,3567,Intel Core i3 6th Gen,i3-6006U,2,2.0 GHz,3MB,Free DOS,4GB,Đang cập nhật,15.6",Không,1360 x 768,HD,Intel HD Graphics,Radeon R5 M430 2GB,2GB,1TB,Không có,Không,Có,Không có,Không,Có,Có,3,1,Có,Không,381x267x26 mm,2.1kg,4,Không
,13.690.000 ₫,12,Dell,Multimedia,Đen,Dell Vostro,3568,Intel Core i5 7th Gen,i5-7200U,2,2.5 GHz,3MB,Free DOS,4GB,Đang cập nhật,15.6",Không,1366 x 768,HD,Intel HD Graphics 620,AMD Radeon R5 M420,2GB,1TB,Không có,Có,Có,Không có,Không,Có,Có,2,1,Có,Không,Đang cập nhật,2.18kg,4,Không
,,Acer Aspire,Acer E5-475-31KC,Intel Core i3 6th Gen,i3-6006U,2,2.0 GHz,3MB,Free DOS,4GB,8GB,14.0",Không,1366 x 768,HD,Intel HD Graphics,Không có,Không,500GB,Không có,Không,Có,Không có,Không,Có,Có,3,1,Có,Có,381 x 256 x 25 mm,2.1Kg,4,Không
,,12,Dell,Multimedia,Đen,Dell Inspiron,3467,Intel Core i3 7th Gen,i3-7100U,2,2.4 GHz,3MB,Free DOS,4GB,Đang cập nhật,14.0",Không,1366 x 768,HD,Intel HD Graphics 620,Không có,Không,1TB,Không có,Có,Không,Không có,Không,Có,Có,3,1,Có,Không,Đang cập nhật,1.81kg,4,Không
Máy xách tay/ Laptop Acer A515-51G-51EM (NX.GTCSV.002) (Đen),15.199.000 ₫,3369,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,Đang cập nhật,15.6",Không,1920 x 1080,Full HD,Intel HD Graphics 620,NVIDIA GeForce MX150,2GB,1TB,Không có,Không,Có,Không có,Không,Có,Có,4,1,Có,Không,390 x 266 x 26.75mm,2.2kg,4,Không
